Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2019.104313,S0167739X18330760,"['Allahham, Mhd Saria', ""Al-Sa'D, Mohammad F."", 'Al-Ali, Abdulla', 'Mohamed, Amr', 'Khattab, Tamer', 'Erbad, Aiman']","['Al-Sa’D, Mohammad F.', 'Al-Ali, Abdulla', 'Mohamed, Amr', 'Khattab, Tamer', 'Erbad, Aiman']",6,5,Engineering,Engineering,0.094623656,0.25,2,0.666666667
10.1016/j.dib.2019.104307,S0090429519305503,"['Alshak, Mark N.', 'Gross, Michael D.', 'Shoag, Jonathan E.', 'Laviana, Aaron A.', 'Gorin, Michael A.', 'Sedrakyan, Art', 'Hu, Jim C.']","['Gross, Michael D.', 'Alshak, Mark N.', 'Shoag, Jonathan E.', 'Laviana, Aaron A.', 'Gorin, Michael A.', 'Sedrakyan, Art', 'Hu, Jim C.']",7,7,Medicine and Dentistry,Medical sciences,0.496062992,0,2,0.857142857
10.1016/j.dib.2018.04.039,S0266353818300393,"['Emerson, Monica J.', 'Dahl, Vedrana A.', 'Conradsen, Knut', 'Mikkelsen, Lars P.', 'Dahl, Anders B.']","['Emerson, Monica Jane', 'Dahl, Vedrana Andersen', 'Conradsen, Knut', 'Mikkelsen, Lars Pilgaard', 'Dahl, Anders Bjorholm']",5,5,Physics and Astronomy,Physics & Chemistry,1,0,4,0.2
10.1016/j.dib.2016.03.100,S105381191600029X,"['Watson, P.D.', 'Paul, E.J.', 'Cooke, G.E.', 'Ward, N.', 'Monti, J.M.', 'Horecka, K.M.', 'Allen, C.M.', 'Hillman, C.H.', 'Kramer, A.F.', 'Barbey, A.K.', 'Cohen, N.J.']","['Watson, P.D.', 'Paul, E.J.', 'Cooke, G.E.', 'Ward, N.', 'Monti, J.M.', 'Horecka, K.M.', 'Allen, C.M.', 'Hillman, C.H.', 'Kramer, A.F.', 'Barbey, A.K.', 'Cohen, N.J.']",11,11,Neurosciences,Medical sciences,1,0,0,1
10.1016/j.dib.2020.106680,S0022283620306574,"['Valles, Gabrielle J.', 'Ashton, Nicholas W.', 'Jaiswal, Nancy', 'Woodgate, Roger', 'Bezsonova, Irina']","['Ashton, Nicholas W.', 'Valles, Gabrielle J.', 'Jaiswal, Nancy', 'Bezsonova, Irina', 'Woodgate, Roger']",5,5,Biological Sciences,Biological sciences,0.467741935,0,4,0.6
10.1016/j.dib.2019.104461,S0944711319302272,"['Duangjan, Chatrawee', 'Rangsinth, Panthakarn', 'Gu, Xiaojie', 'Zhang, Shaoxiong', 'Wink, Michael', 'Tencomnao, Tewin']","['Duangjan, Chatrawee', 'Rangsinth, Panthakarn', 'Gu, Xiaojie', 'Zhang, Shaoxiong', 'Wink, Michael', 'Tencomnao, Tewin']",6,6,"Biochemistry, Genetics and Molecular Biology",Biological sciences,1,0,0,1
10.1016/j.dib.2016.06.051,S0014299916302321,"['Salazar, Giulia', 'Bellocchi, Chiara', 'Todoerti, Katia', 'Saporiti, Federica', 'Piacentini, Luca', 'Scorza, Raffaella', 'Colombo, Gualtiero I.']","['Salazar, Giulia', 'Bellocchi, Chiara', 'Todoerti, Katia', 'Saporiti, Federica', 'Piacentini, Luca', 'Scorza, Raffaella', 'Colombo, Gualtiero I.']",7,7,"Pharmacology, Toxicology and Pharmaceutical Science",Medical sciences,1,0,0,1
10.1016/j.dib.2018.02.040,S1567724917303355,"['Lyu, Lihua', 'Wang, Qiufeng', 'Song, Shujie', 'Zhou, Huaibin', 'Li, Ming', 'Zhou, Chen', 'Jiang, Zhiying', 'Li, Liyan', 'Chen, Guorong', 'Bai, Yidong', 'Lyu, Jianxin']","['Lyu, Lihua', 'Wang, Qiufeng', 'Song, Shujie', 'Li, Liyan', 'Zhou, Huaibin', 'Li, Ming', 'Jiang, Zhiying', 'Zhou, Chen', 'Lyu, Jianxin', 'Bai, Yidong', 'Chen, Guorong']",11,11,Cell biology,Biological sciences,0.974077434,0,5,0.636363636
10.1016/j.dib.2020.105362,S0008622320300117,"['Oyarzún, Andrea', 'García, Ximena', 'Radovic, Ljubisa']","['Oyarzún, Andrea M.', 'García-Carmona, Ximena', 'Radovic, Ljubisa R.']",3,3,Chemistry,Physics & Chemistry,1,0,3,0
10.1016/j.dib.2017.09.053,S0142961217305215,"['Chen, Chun-Nan', 'Chen, You-Tzung', 'Yang, Tsung-Lin']","['Chen, Chun-Nan', 'Chen, You-Tzung', 'Yang, Tsung-Lin']",3,3,Materials Sciences,Engineering,1,0,0,1
10.1016/j.dib.2020.106119,S2214860420308162,"['Lee, Xian Yeow', 'Saha, Sourabh K.', 'Sarkar, Soumik', 'Giera, Brian']","['Lee, Xian Yeow', 'Saha, Sourabh K.', 'Sarkar, Soumik', 'Giera, Brian']",4,4,Computer Science,Computer & Mathematical sciences,1,0,0,1
10.1016/j.dib.2018.12.040,S0022459618305279,"['Ovchinnikov, Alexander', 'Bobev, Svilen']","['Ovchinnikov, Alexander', 'Bobev, Svilen']",2,2,Chemistry,Physics & Chemistry,1,0,0,1
10.1016/j.dib.2016.10.028,S0308814616316673,"['Laus, Maura N.', 'Soccio, Mario', 'Alfarano, Michela', 'Pasqualone, Antonella', 'Lenucci, Marcello S.', 'Di Miceli, Giuseppe', 'Pastore, Donato']","['Laus, Maura N.', 'Soccio, Mario', 'Alfarano, Michela', 'Pasqualone, Antonella', 'Lenucci, Marcello S.', 'Di Miceli, Giuseppe', 'Pastore, Donato']",7,7,Agricultural and Biological Sciences,Biological sciences,1,0,0,1
10.1016/j.dib.2021.107109,S2001037021000659,"['Barrera, Exequiel E.', 'Pantano, Sergio', 'Zonta, Francesco']","['Barrera, Exequiel E.', 'Zonta, Francesco', 'Pantano, Sergio']",3,3,Biological Sciences,Biological sciences,0.857142857,0,2,0.666666667
10.1016/j.dib.2020.105376,S016719871930995X,"['Jian, Jinshi', 'Du, Xuan', 'Stewart, Ryan D.']","['Jian, Jinshi', 'Lester, Brandon J.', 'Du, Xuan', 'Reiter, Mark S.', 'Stewart, Ryan D.']",3,5,Agricultural and Biological Sciences,Biological sciences,0.782795699,0,2,0.75
10.1016/j.dib.2021.107121,S2352304221000301,"['Ma, Yaping', 'Li, Chaofan', 'He, Yan', 'Fu, Tiwei', 'Song, Li', 'Ye, Qingsong', 'Zhang, Fugui']","['Ma, Yaping', 'Li, Chaofan', 'He, Yan', 'Fu, Tiwei', 'Song, Li', 'Ye, Qingsong', 'Zhang, Fugui']",7,7,Health and Medical Sciences,Medical sciences,1,0,0,1
